CONTAINER ID   IMAGE                                                   COMMAND                   CREATED          STATUS                          PORTS                                                        NAMES
ae3c09dedf79   retailstore-web                                         "docker-entrypoint.s…"    46 seconds ago   Up 43 seconds                   0.0.0.0:3000->3000/tcp                                       retailstore_web
1fb7539ee054   public.ecr.aws/supabase/studio:2025.12.23-sha-f3af2c3   "docker-entrypoint.s…"    7 minutes ago    Up 7 minutes (healthy)          0.0.0.0:54323->3000/tcp                                      supabase_studio_RetailStore
3cf4000df73a   public.ecr.aws/supabase/postgres-meta:v0.95.1           "docker-entrypoint.s…"    7 minutes ago    Up 7 minutes (healthy)          8080/tcp                                                     supabase_pg_meta_RetailStore
104ce5c4f578   public.ecr.aws/supabase/edge-runtime:v1.69.28           "sh -c 'cat <<'EOF' …"    7 minutes ago    Up 7 minutes                    8081/tcp                                                     supabase_edge_runtime_RetailStore
a5d85134a5b0   public.ecr.aws/supabase/storage-api:v1.33.2             "docker-entrypoint.s…"    7 minutes ago    Up 7 minutes (healthy)          5000/tcp                                                     supabase_storage_RetailStore
17104d503e32   public.ecr.aws/supabase/postgrest:v14.2                 "/bin/postgrest"          7 minutes ago    Up 7 minutes                    3000/tcp                                                     supabase_rest_RetailStore
7369a08e87e0   public.ecr.aws/supabase/realtime:v2.69.0                "/usr/bin/tini -s -g…"    7 minutes ago    Up 7 minutes (healthy)          4000/tcp                                                     supabase_realtime_RetailStore
3333ae0fbd96   public.ecr.aws/supabase/mailpit:v1.22.3                 "/mailpit"                7 minutes ago    Up 7 minutes (healthy)          1025/tcp, 1110/tcp, 0.0.0.0:54324->8025/tcp                  supabase_inbucket_RetailStore
a72eb9773910   public.ecr.aws/supabase/gotrue:v2.184.0                 "auth"                    7 minutes ago    Up 7 minutes (healthy)          9999/tcp                                                     supabase_auth_RetailStore
54dee371a251   public.ecr.aws/supabase/kong:2.8.1                      "sh -c 'cat <<'EOF' …"    7 minutes ago    Up 7 minutes (healthy)          8001/tcp, 8088/tcp, 8443-8444/tcp, 0.0.0.0:54321->8000/tcp   supabase_kong_RetailStore
47fd551072ac   public.ecr.aws/supabase/vector:0.28.1-alpine            "sh -c 'cat <<'EOF' …"    7 minutes ago    Restarting (0) 53 seconds ago                                                                supabase_vector_RetailStore
693760aacffa   public.ecr.aws/supabase/logflare:1.27.3                 "sh -c 'cat <<'EOF' …"    7 minutes ago    Up 7 minutes (healthy)          0.0.0.0:54327->4000/tcp                                      supabase_analytics_RetailStore
4c0006cb065b   public.ecr.aws/supabase/postgres:17.6.1.066             "sh -c '\ncat <<'EOF'…"   8 minutes ago    Up 8 minutes (healthy)          0.0.0.0:54322->5432/tcp                                      supabase_db_RetailStore
